seq_len,total_cycles,total_time_ns,kv_bytes_read,kv_bytes_write,weight_bytes,overlap_reduction,kv_footprint_bytes,category::Embedding/dispatch,category::Attention front-end,category::KV read + attention score,category::Softmax,category::Attention value mix,category::Attention output/residual,category::MLP front-end,category::MLP,category::MLP output/residual,category::Logits/sample
128.0,634885.0,634885.0,6242304.0,49152.0,117047296.0,0.01592170587934405,6291456.0,13.0,126984.0,1920.0,600.0,1920.0,28632.0,480.0,388656.0,72.0,85608.0
256.0,663781.0,663781.0,12533760.0,49152.0,117047296.0,0.02168334824382856,12582912.0,13.0,155880.0,3840.0,1200.0,3840.0,24192.0,480.0,388656.0,72.0,85608.0
512.0,721621.0,721621.0,25116672.0,49152.0,117047296.0,0.03165806286256412,25165824.0,13.0,213720.0,7680.0,2400.0,7680.0,15312.0,480.0,388656.0,72.0,85608.0
1024.0,843637.0,843637.0,50282496.0,49152.0,117047296.0,0.03982568296744127,50331648.0,13.0,329376.0,15360.0,4800.0,15360.0,3912.0,480.0,388656.0,72.0,85608.0
2048.0,1110445.0,1110445.0,100614144.0,49152.0,117047296.0,0.030549039362269603,100663296.0,13.0,560664.0,30720.0,9600.0,30720.0,3912.0,480.0,388656.0,72.0,85608.0
4096.0,1644109.0,1644109.0,201277440.0,49152.0,117047296.0,0.020839723161382162,201326592.0,13.0,1023288.0,61440.0,19200.0,61440.0,3912.0,480.0,388656.0,72.0,85608.0
8192.0,2711389.0,2711389.0,402604032.0,49152.0,117047296.0,0.012741130964713188,402653184.0,13.0,1948488.0,122880.0,38400.0,122880.0,3912.0,480.0,388656.0,72.0,85608.0
